rank,intersection_name,longitude,latitude,risk_score,percentile,became_emergent
1,Fairmount Avenue & Myrtle Avenue,-117.100999,32.742159,0.199973,100.0,False
2,Balboa Avenue & Mount Everest Boulevard,-117.185455,32.8181,0.179729,100.0,False
3,51st Street & Orange Avenue,-117.08474,32.753053,0.177507,100.0,False
4,Fairmount Avenue,-117.100718,32.777712,0.172231,100.0,False
5,Mira Sorrento Place & Vista Sorrento Parkway,-117.20665,32.892344,0.165606,100.0,False
6,Beardsley Street & National Avenue,-117.146744,32.70182,0.164551,100.0,False
7,Princess View Drive & Waring Road,-117.076013,32.797337,0.162539,100.0,False
8,Eastgate Mall & Judicial Drive,-117.20565,32.879847,0.16117,100.0,False
9,South Euclid Avenue & Trinidad Way,-117.0851,32.700046,0.159864,100.0,False
10,Scripps Ranch Boulevard & Scripps Ranch Court,-117.109043,32.905277,0.159323,100.0,False
11,50th Street & Imperial Avenue,-117.086759,32.704023,0.157956,100.0,False
12,43rd Street & Myrtle Avenue,-117.102099,32.742166,0.156191,100.0,False
13,Clairemont Mesa Boulevard & Industrial Park Driveway,-117.145801,32.832736,0.155986,99.9,False
14,Balboa Avenue & Balboa Way,-117.183719,32.818631,0.155651,99.9,False
15,April Court & Genesee Avenue,-117.204111,32.850163,0.152192,99.9,False
16,Convoy Street & Opportunity Road,-117.15509,32.825419,0.151938,99.9,False
17,Clairemont Mesa Boulevard & Industrial Park Driveway,-117.145804,32.832866,0.150179,99.9,False
18,Imperial Avenue,-117.055785,32.710745,0.149647,99.9,False
19,Carmel Mountain Road & Conference Way,-117.075608,32.985641,0.149558,99.9,False
20,Antigua Boulevard & Santo Road,-117.101231,32.833719,0.148997,99.9,False
21,Temecula Street & West Point Loma Boulevard,-117.232484,32.752356,0.148898,99.9,False
22,31st Street & East Market Street,-117.127432,32.711671,0.146191,99.9,False
23,Clairemont Mesa Boulevard & Regents Road,-117.215767,32.831246,0.145794,99.9,False
24,National Avenue & South Evans Street,-117.141762,32.698368,0.145791,99.9,False
25,Clairemont Drive & Ute Drive,-117.200971,32.80932,0.145558,99.9,False
26,Carmel Mountain Road & Via Rimini,-117.099694,32.96644,0.145087,99.9,False
27,Cartagena Drive & University Avenue,-117.062157,32.753563,0.143983,99.9,False
28,Sunset Place & Taylor Street,-117.197974,32.757508,0.143944,99.9,False
29,Clairemont Drive & Clairemont Mesa Boulevard,-117.200849,32.832974,0.141225,99.9,False
30,Altadena Avenue & Orange Avenue,-117.08581,32.753062,0.141016,99.9,False
31,Beech Street & Home Avenue,-117.109718,32.720771,0.140936,99.9,True
32,Sorrento Valley Boulevard & Sorrento Valley Road,-117.223299,32.901228,0.13995,99.9,False
33,Scripps Ranch Boulevard & Scripps Ranch Row,-117.098945,32.899524,0.139627,99.9,True
34,Camino Ruiz & Jade Coast Road,-117.145084,32.903124,0.1394,99.9,False
35,52nd Street & Orange Avenue,-117.083665,32.753048,0.138834,99.9,False
36,Detroit Place & Duluth Avenue,-117.058853,32.701328,0.13882,99.9,False
37,National Avenue & South 26th Street,-117.1381,32.695908,0.138579,99.9,False
