rank,intersection_name,longitude,latitude,risk_score,percentile,became_emergent
42,Glenhurst Way & Rancho Carmel Drive,-117.085157,32.973803,0.1229,99.8,False
43,47th Street & Monroe Avenue,-117.092903,32.758923,0.122367,99.8,False
44,West Point Loma Boulevard,-117.224932,32.753243,0.122108,99.8,False
45,Detroit Place & Duluth Avenue,-117.058853,32.701328,0.122068,99.8,False
46,Friars Road & Gill Village Way,-117.146435,32.775602,0.121979,99.8,False
47,Aero Drive & West Canyon Avenue,-117.122401,32.808257,0.12195,99.8,False
48,Friars Road & Gaines Street,-117.185001,32.766259,0.121408,99.8,False
49,26th Street & A Street,-117.138225,32.718959,0.121272,99.8,False
50,Antigua Boulevard & Santo Road,-117.101231,32.833719,0.120744,99.8,False
51,Cañon Street & Del Mar Avenue,-117.239745,32.727971,0.120193,99.8,False
52,Governor Drive & Radcliffe Drive,-117.205981,32.854458,0.120192,99.8,False
53,Camino Santa Fe & Flanders Drive,-117.171065,32.905054,0.119928,99.8,False
54,Euclid Avenue & Monroe Avenue,-117.092088,32.759036,0.119812,99.8,False
55,30th Street & Palm Street,-117.129333,32.735642,0.119465,99.8,False
56,Malaga Street & Rosecrans Street,-117.210978,32.746077,0.119274,99.8,False
57,Convoy Street & Raytheon Road,-117.153261,32.830866,0.119147,99.8,False
58,Imperial Avenue & Messina Way,-117.105634,32.704163,0.119129,99.8,False
59,Chester Street & Lisbon Street,-117.048492,32.712051,0.118827,99.8,False
60,Rancho Mission Road & Ward Road,-117.110442,32.781742,0.1188,99.8,False
61,Goldsmith Street & Rosecrans Street,-117.215071,32.741254,0.118587,99.8,False
62,Prospect Street & Silverado Street,-117.277713,32.844279,0.11847,99.8,False
63,Chollas Parkway & University Avenue,-117.074034,32.747934,0.117701,99.7,False
64,Clairemont Mesa Boulevard & Industrial Park Driveway,-117.145801,32.832736,0.117669,99.7,True
65,Pacific Highway & West Ash Street,-117.170967,32.719904,0.117008,99.7,False
66,30th Street & Dwight Street,-117.130109,32.744242,0.115554,99.7,False
67,Miramar Road & Rigel Avenue,-117.13804,32.892419,0.115362,99.7,False
68,Pescadero Avenue & Sunset Cliffs Boulevard,-117.253422,32.738003,0.115156,99.7,False
69,Michael Faraday Drive & Siempre Viva Road,-116.931992,32.556762,0.114596,99.7,False
70,National Avenue & South 26th Street,-117.1381,32.695908,0.11444,99.7,False
71,30th Street & Monroe Avenue,-117.130215,32.759159,0.114283,99.7,False
72,37th Street & Wightman Street,-117.113129,32.747845,0.114176,99.7,False
73,Emerald Crescent & Otay Mesa Road,-117.009872,32.568366,0.113959,99.7,False
74,68th Street & Imperial Avenue,-117.050959,32.711477,0.113884,99.7,False
75,East Market Street & Uvas Street,-117.091609,32.710144,0.11353,99.7,False
76,Lusk Boulevard & Pacific Center Boulevard,-117.199478,32.901905,0.11324,99.7,False
77,Cardiff Street & Wade Street,-117.025192,32.715221,0.1132,99.7,False
78,Clairemont Drive & Dalles Avenue,-117.201007,32.815303,0.112809,99.7,False
79,Mc Cain Road & North Harbor Drive,-117.20888,32.728961,0.112482,99.7,False
80,Kamloop Avenue & Moraga Avenue,-117.213514,32.821953,0.112326,99.7,False
81,Bullock Drive & South Woodman Street,-117.049689,32.695271,0.110258,99.7,False
82,South Euclid Avenue & Trinidad Way,-117.0851,32.700046,0.110026,99.7,False
83,Fairmount Avenue,-117.100718,32.777712,0.109892,99.7,False
84,Cherokee Avenue & Wightman Street,-117.114357,32.747855,0.10958,99.7,False
85,40th Street & East Market Street,-117.10868,32.711561,0.109344,99.7,False
86,Mira Mesa Boulevard & New Salem Street,-117.138509,32.912917,0.109104,99.7,False
87,Galewood Street & Waring Road,-117.068524,32.794654,0.108877,99.7,False
88,North Torrey Pines Road & Science Park Road,-117.242596,32.901695,0.108437,99.6,False
89,Greenbrier Avenue & Mission Gorge Road,-117.093618,32.797124,0.108374,99.6,False
90,AleSmith Court & Miramar Road,-117.149061,32.886049,0.108356,99.6,False
91,Corporate Center Drive & Otay Mesa Road,-117.005548,32.56832,0.108315,99.6,False
92,Exploration Drive & North Torrey Pines Road,-117.243978,32.88108,0.107944,99.6,False
93,6th Avenue & Ivy Lane,-117.15951,32.742143,0.107697,99.6,False
94,Eastgate Mall & Genesee Avenue,-117.213908,32.877619,0.107629,99.6,False
95,Mission Boulevard & San Juan Place,-117.252541,32.780377,0.10741,99.6,False
96,Camino Estrellado & Margerum Avenue,-117.064396,32.7964,0.107336,99.6,False
97,Littlefield Street & Morena Boulevard,-117.207487,32.780416,0.107309,99.6,False
98,East Market Street & Morrison Street,-117.10562,32.711489,0.106945,99.6,False
99,Camino de la Siesta & Camino del Rio North,-117.160726,32.766357,0.106646,99.6,False
100,Otay Mesa Road & Piper Ranch Road,-116.953725,32.56757,0.106231,99.6,False
101,Bayview Heights Drive & Federal Boulevard,-117.082611,32.721516,0.106184,99.6,False
102,La Jolla Shores Drive & North Torrey Pines Road,-117.243601,32.875639,0.105865,99.6,False
103,Balboa Avenue & Balboa Way,-117.183719,32.818631,0.105837,99.6,False
104,Dabney Drive & Mira Mesa Boulevard,-117.158671,32.909811,0.105524,99.6,False
105,Acena Drive & Rancho Bernardo Road,-117.070092,33.022694,0.105354,99.6,False
106,La Jolla Shores Drive & Shellback Way,-117.251597,32.87001,0.105183,99.6,False
107,Electric Avenue & La Jolla Boulevard,-117.276502,32.830726,0.105135,99.6,False
108,Beejay Drive & Palm Avenue,-117.080444,32.583882,0.105092,99.6,False
109,Herbert Street & University Avenue,-117.149277,32.74842,0.105005,99.6,False
110,Health Center Drive & Vista Hill Avenue,-117.157462,32.794951,0.1049,99.6,False
111,Miracrest Place & Miramar Road,-117.169392,32.878043,0.104784,99.6,False
112,Eastgate Mall & Regents Road,-117.218294,32.876892,0.104687,99.6,False
113,Camino Ruiz & Jade Coast Road,-117.145084,32.903124,0.10462,99.5,False
114,51st Street & Orange Avenue,-117.08474,32.753053,0.104584,99.5,False
115,Rueda Drive & Tierrasanta Boulevard,-117.093832,32.817837,0.104545,99.5,False
116,Galveston Street & Milton Street,-117.200972,32.784139,0.104139,99.5,False
117,Friars Road,-117.151688,32.774546,0.103426,99.5,False
118,32nd Street & K Street,-117.125257,32.708522,0.103234,99.5,False
119,Coronado Avenue,-117.078403,32.576486,0.103225,99.5,False
120,Carleton Street & Rosecrans Street,-117.230494,32.723212,0.10286,99.5,False
121,Colusa Street & Friars Road,-117.189688,32.76489,0.102734,99.5,False
122,Estrella Avenue & University Avenue,-117.090134,32.749522,0.102641,99.5,False
123,Lincoln Avenue & Texas Street,-117.138802,32.750309,0.102362,99.5,False
124,Madison Avenue & Oregon Street,-117.135139,32.760998,0.102159,99.5,False
125,Friars Road,-117.139808,32.778014,0.102124,99.5,False
126,Aero Drive & Glen L Curtis Road,-117.144498,32.809609,0.101523,99.5,False
127,Alcona Street & South Woodman Street,-117.044864,32.68654,0.101509,99.5,False
128,Plaza Boulevard & South Woodman Street,-117.052245,32.696885,0.101398,99.5,False
129,Carmel Mountain Road,-117.078286,32.980397,0.1011,99.5,False
130,Frankfort Street & Morena Boulevard,-117.206121,32.774683,0.101011,99.5,False
131,Camino del Rio North,-117.134671,32.772758,0.100977,99.5,False
132,Camino del Norte & World Trade Drive,-117.0673,32.987752,0.100942,99.5,False
133,Clairemont Mesa Boulevard & Complex Street,-117.134777,32.831486,0.100778,99.5,False
134,University Avenue,-117.147218,32.748432,0.100496,99.5,False
135,Albatross Street & West Hawthorn Street,-117.165738,32.727195,0.100362,99.5,False
136,Fashion Hills Boulevard & Ulric Street,-117.167839,32.773924,0.100301,99.5,False
137,Asher Street & Morena Boulevard,-117.207564,32.779084,0.09982,99.5,False
138,Beardsley Street & National Avenue,-117.146744,32.70182,0.099784,99.4,False
139,13th Street & J Street,-117.152827,32.709437,0.099535,99.4,False
140,Glencoe Drive & Jamacha Road,-117.031947,32.715505,0.09929,99.4,False
141,North R Avenue & South 47th Street,-117.093766,32.691733,0.099161,99.4,False
142,Chollas Parkway & Fairmount Avenue,-117.093918,32.724163,0.099135,99.4,False
143,Greenbrier Avenue & Waring Road,-117.078399,32.79495,0.098872,99.4,False
144,Nimitz Boulevard & Sunset Cliffs Boulevard,-117.236222,32.755006,0.098795,99.4,False
145,Idaho Street & Madison Avenue,-117.133911,32.761009,0.09878,99.4,False
146,Linda Vista Road & North Rim Court,-117.175535,32.773694,0.098617,99.4,False
147,Kearny Mesa Road & Mercury Street,-117.14888,32.824791,0.098441,99.4,False
148,Orchard Avenue & Sunset Cliffs Boulevard,-117.252691,32.738846,0.098325,99.4,False
149,Ingraham Street & Perez Cove Way,-117.23359,32.767836,0.09828,99.4,False
150,Car Street & Jamacha Road,-117.027418,32.716945,0.098267,99.4,False
151,Hibert Street & Mira Mesa Boulevard,-117.113086,32.916679,0.098245,99.4,False
152,Caminito Bolsa & Carmel Mountain Road,-117.117334,32.960933,0.098224,99.4,False
153,Ibis Street & Washington Place,-117.173227,32.749912,0.098111,99.4,False
154,Rancho Peñasquitos Boulevard & Via del Sud,-117.108479,32.953427,0.097721,99.4,False
155,Evening Creek Drive East & Evening Creek Drive North,-117.092,32.962028,0.097692,99.4,False
156,East Harbor Drive & Pier 24 Street,-117.140817,32.693608,0.097417,99.4,False
157,National Avenue & South 33rd Street,-117.123199,32.69597,0.097157,99.4,False
158,Conde Street & Congress Street,-117.194696,32.751414,0.09713,99.4,False
159,Drucker Lane & Siempre Viva Road,-116.94952,32.553059,0.097094,99.4,False
160,Skyline Drive & Tuther Way,-117.047405,32.702719,0.096609,99.4,False
161,Lightwave Avenue & Overland Avenue,-117.131097,32.829198,0.096568,99.4,False
162,30th Street & Myrtle Avenue,-117.130112,32.742142,0.096231,99.4,False
163,Idaho Street & University Avenue,-117.13388,32.748509,0.096071,99.3,False
164,West San Ysidro Boulevard,-117.059954,32.558336,0.095759,99.3,False
165,University Avenue,-117.149541,32.748418,0.095525,99.3,False
166,Fern Street & Juniper Street,-117.129605,32.729654,0.095483,99.3,False
167,Union Street & West Broadway,-117.165611,32.715779,0.095206,99.3,False
168,Camino del Rio West & Jefferson Street,-117.204654,32.756164,0.095169,99.3,False
169,54th Street,-117.079415,32.747395,0.095141,99.3,False
170,James Street & Rosecrans Street,-117.21353,32.743061,0.094826,99.3,False
171,Iris Avenue & Monterey Pine Drive,-117.0722,32.569135,0.094699,99.3,False
172,Clairemont Mesa Boulevard & Repecho Drive,-117.111882,32.832289,0.094682,99.3,False
173,Chatsworth Boulevard & Evergreen Street,-117.214496,32.745482,0.094609,99.3,False
174,Britannia Boulevard & Otay Mesa Road,-116.979813,32.567873,0.094528,99.3,False
175,Genesee Avenue & Genesee East Court,-117.179352,32.814164,0.094526,99.3,False
176,Avenida Abeja & Bernardo Center Drive,-117.094758,33.005002,0.09429,99.3,False
177,Morena Boulevard & Savannah Street,-117.20187,32.77104,0.094253,99.3,False
178,Ocean View Boulevard & South 46th Street,-117.095848,32.700462,0.094171,99.3,False
179,Fairmount Avenue,-117.097427,32.773255,0.094165,99.3,False
180,Hotel Circle North & Hotel Circle South,-117.188327,32.759319,0.094145,99.3,False
181,Ailsa Court & Otay Mesa Road,-116.971063,32.567781,0.09414,99.3,False
182,Ducos Place & Tierrasanta Boulevard,-117.096916,32.819937,0.093998,99.3,False
183,Altadena Avenue & Orange Avenue,-117.08581,32.753062,0.093797,99.3,False
184,Camino Santa Fe & Top Gun Street,-117.172032,32.910817,0.093616,99.3,False
185,67th Street & El Cajon Boulevard,-117.053675,32.76859,0.093403,99.3,False
186,La Jolla Boulevard & Tourmaline Street,-117.259971,32.806599,0.093389,99.3,False
187,Highland Ranch Road & Ted Williams Parkway,-117.068136,32.973788,0.093104,99.3,False
188,La Jolla Village Drive,-117.234883,32.871634,0.093087,99.2,False
189,Skyline Drive & South Siena Street,-117.03692,32.702863,0.093059,99.2,False
190,Mission Gorge Road,-117.100686,32.781895,0.092996,99.2,False
191,Chollas Parkway,-117.074662,32.747523,0.092912,99.2,False
192,Keeler Avenue & South 43rd Street,-117.102397,32.693975,0.092888,99.2,False
193,Adams Avenue & Hawley Boulevard,-117.119487,32.763344,0.092872,99.2,False
194,Clairemont Mesa Boulevard & Overland Avenue,-117.131011,32.831494,0.092579,99.2,False
195,Executive Drive & Miramar Street,-117.218273,32.875152,0.092422,99.2,False
196,Point Loma Avenue & Sunset Cliffs Boulevard,-117.25488,32.736317,0.092352,99.2,False
197,Ronson Road & Ruffner Street,-117.158472,32.829015,0.092352,99.2,False
198,North Harbor Drive,-117.181048,32.727673,0.091926,99.2,False
199,Rancho Carmel Drive,-117.083382,32.976448,0.091871,99.2,False
200,Sunset Place & Taylor Street,-117.197974,32.757508,0.091802,99.2,False
201,Convoy Street,-117.154918,32.818356,0.091683,99.2,False
202,Customhouse Plaza & Siempre Viva Road,-116.945183,32.552981,0.091661,99.2,False
203,Ulric Street,-117.166381,32.773533,0.091643,99.2,False
204,Navajo Road & Park Ridge Boulevard,-117.050005,32.801752,0.091334,99.2,False
205,Kettner Boulevard & West Laurel Street,-117.171987,32.73005,0.091286,99.2,False
206,Morena Boulevard & Viola Street,-117.202032,32.771734,0.091284,99.2,False
207,Lisbon Street & Porter Street,-117.04234,32.712078,0.091229,99.2,False
208,Inspiration Point Way & Park Boulevard,-117.148539,32.727243,0.091106,99.2,False
209,Main Street & Schley Street,-117.138361,32.693307,0.090812,99.2,False
210,Main Street & Thor Street,-117.118698,32.687809,0.09076,99.2,False
211,La Paz Drive & South Euclid Avenue,-117.085031,32.698103,0.090728,99.2,False
212,Mission Boulevard & San Jose Place,-117.252898,32.784744,0.090655,99.2,False
213,Clairemont Drive & Joplin Avenue,-117.206042,32.824522,0.090596,99.1,False
214,5th Avenue & Brookes Avenue,-117.160393,32.743328,0.090454,99.1,False
215,Caminito Plaza Centro & Nobel Drive,-117.227152,32.868326,0.090441,99.1,False
216,Holiday Court & Villa La Jolla Drive,-117.233791,32.870316,0.090418,99.1,True
217,Bernardo Center Drive & Fairlie Road,-117.075844,33.028782,0.090359,99.1,False
218,Froude Street & Voltaire Street,-117.239713,32.747762,0.090271,99.1,False
219,Carmel Mountain Road & Cuca Street,-117.095488,32.969875,0.089997,99.1,False
220,Carmel Mountain Express Drive & Sabre Springs Parkway,-117.091325,32.962948,0.089676,99.1,False
221,Clairemont Mesa Boulevard & Industrial Park Driveway,-117.145928,32.832735,0.08963,99.1,False
222,Calle Saucillo & Paseo Lucido,-117.067904,32.996862,0.089623,99.1,False
223,Menlo Avenue & Wightman Street,-117.094464,32.747695,0.089619,99.1,False
224,Balboa Avenue & Mount Rias Place,-117.173457,32.82022,0.089516,99.1,True
225,La Jolla Boulevard & Palomar Avenue,-117.276894,32.826832,0.089496,99.1,False
226,Clairemont Drive & Feather Avenue,-117.203685,32.819506,0.089459,99.1,False
227,Brookhaven Road & South Meadowbrook Drive,-117.029674,32.699939,0.089234,99.1,False
228,Larkdale Avenue & Murray Ridge Road,-117.14191,32.801541,0.089211,99.1,False
229,Galvin Avenue & Westview Parkway,-117.120027,32.920094,0.089013,99.1,False
230,Otay Pacific Drive & Siempre Viva Road,-116.974241,32.553289,0.088922,99.1,False
231,Lisbon Street & Pons Street,-117.041519,32.712086,0.088838,99.1,False
232,India Street & West Juniper Street,-117.170288,32.728347,0.088635,99.1,False
233,Moore Street & Old Town Avenue,-117.19328,32.748157,0.088621,99.1,False
234,Federal Boulevard & Mallard Street,-117.06227,32.729615,0.088395,99.1,False
235,Alcala Knolls Drive & Linda Vista Road,-117.177558,32.772199,0.088356,99.1,False
236,28th Street & Broadway,-117.133774,32.715839,0.088127,99.1,False
237,Remora Street & Santo Road,-117.102915,32.830984,0.08811,99.1,False
238,Ivanhoe Avenue & Torrey Pines Road,-117.270988,32.843807,0.088096,99.0,False
239,East Market Street & Raven Street,-117.107627,32.711558,0.088034,99.0,False
240,College Grove Drive & College Grove Way,-117.058206,32.738158,0.088014,99.0,False
241,Beyer Way & Coronado Avenue,-117.064086,32.577701,0.087764,99.0,False
242,Camino Santa Fe & Construction Court,-117.167276,32.883577,0.087726,99.0,False
243,Mira Mesa Boulevard & Penridge Street,-117.169263,32.90799,0.087631,99.0,False
244,6th Avenue & Palm Street,-117.159418,32.735574,0.08756,99.0,False
245,Carmel Valley Road & Old El Camino Real,-117.239478,32.933419,0.087392,99.0,False
246,Del Sol Boulevard & Marcwade Drive,-117.049858,32.573635,0.087378,99.0,False
247,Nobel Drive & Villa La Jolla Drive,-117.233317,32.867631,0.087042,99.0,False
248,Avenida Villaha & Bernardo Heights Parkway,-117.061849,33.000505,0.08704,99.0,False
249,Sorrento Valley Road,-117.208537,32.890017,0.086967,99.0,False
250,Burgener Boulevard & Field Street,-117.193604,32.793415,0.086803,99.0,False
251,George Cooke Express Drive & West Bernardo Drive,-117.082184,33.01743,0.086664,99.0,False
252,25th Street & L Street,-117.140226,32.7074,0.086627,99.0,False
253,Sabre Springs Parkway & Savannah Creek Drive,-117.0962,32.948657,0.086616,99.0,False
254,Jamacha Road & Lincoln Place,-117.032747,32.715296,0.086599,99.0,False
255,50th Street & Imperial Avenue,-117.086759,32.704023,0.086595,99.0,False
256,Freeman Street & Rosecrans Street,-117.215584,32.740639,0.086467,99.0,False
257,Clairemont Drive & Hiawatha Way,-117.204097,32.820078,0.086446,99.0,False
258,Jacaranda Drive & Jacaranda Place,-117.134764,32.738879,0.086431,99.0,False
259,Alta View Drive & Parkside Avenue,-117.042582,32.675781,0.086385,99.0,False
260,Clairemont Mesa Boulevard & Murphy Canyon Road,-117.121146,32.833016,0.086381,99.0,False
261,Aero Drive,-117.127611,32.809773,0.086325,99.0,False
262,Old Town Avenue & San Diego Avenue,-117.192297,32.749297,0.086317,99.0,False
263,Navajo Road,-117.007656,32.802941,0.086238,98.9,False
264,Balboa Arms Drive & Mount Abernathy Avenue,-117.175798,32.821705,0.086117,98.9,False
265,Avenida del Gato & Calle Cristobal,-117.149427,32.931327,0.085991,98.9,False
266,Herschel Avenue & Prospect Street,-117.273706,32.848242,0.085908,98.9,False
267,Friars Road,-117.117326,32.787607,0.085831,98.9,False
268,La Jolla Boulevard & Mira Monte,-117.274305,32.821447,0.085797,98.9,False
269,Ingraham Street & La Cima Drive,-117.236633,32.782764,0.085686,98.9,False
270,Cargill Avenue & Nobel Drive,-117.216497,32.866421,0.085669,98.9,False
271,Ibsen Street & Rosecrans Street,-117.214046,32.742457,0.085491,98.9,False
272,Camino Ruiz & Jade Coast Drive,-117.144197,32.901897,0.085483,98.9,False
273,Cardinal Road & Genesee Avenue,-117.157157,32.792207,0.085462,98.9,False
274,Caminito Cuervo & Rancho Mission Road,-117.110375,32.785788,0.085169,98.9,False
275,Carmel Mountain Road & Via San Marco,-117.09678,32.968618,0.085035,98.9,False
276,Friars Road,-117.178714,32.766428,0.084995,98.9,False
277,North Torrey Pines Road & Pangea Drive,-117.243975,32.883818,0.084967,98.9,False
278,Juan Street & Mason Street,-117.196095,32.755223,0.084962,98.9,False
279,Loma Riviera Drive & West Point Loma Boulevard,-117.223984,32.753582,0.084863,98.9,False
280,East Jewett Street & Eastman Street,-117.171501,32.787628,0.08483,98.9,False
281,Adams Avenue & Arizona Street,-117.137619,32.762863,0.084394,98.9,False
282,Georgia Street & Madison Avenue,-117.145022,32.760976,0.084383,98.9,False
283,Reo Drive & Winchester Street,-117.063027,32.673793,0.08433,98.9,False
284,Ingraham Street & Yosemite Street,-117.236588,32.781273,0.084282,98.9,False
285,La Cuenta Drive & Tierrasanta Boulevard,-117.0979,32.821266,0.084258,98.9,False
286,Mendocino Boulevard & Voltaire Street,-117.235692,32.745039,0.084009,98.9,False
287,4th Avenue & Nutmeg Street,-117.161256,32.733479,0.083967,98.9,True
288,Martin Avenue & South 32nd Street,-117.12519,32.699441,0.083883,98.8,False
289,Jester Street & Paradise Valley Road,-117.058342,32.689098,0.083863,98.8,False
290,El Cajon Boulevard & Montezuma Road,-117.054262,32.768305,0.08371,98.8,False
291,Bancroft Street & Boundary Street,-117.123944,32.750366,0.083694,98.8,False
292,South 43rd Street,-117.102529,32.691711,0.083643,98.8,False
293,Mission Village Drive,-117.120364,32.787429,0.083633,98.8,False
294,Jarrett Court & Logan Avenue,-117.091227,32.696799,0.083607,98.8,False
295,Plaza Boulevard & South Woodman Street,-117.052187,32.696984,0.083565,98.8,False
296,MTS Rapid Busway & Park Boulevard,-117.146425,32.754022,0.0834,98.8,False
297,Renaissance Avenue & Towne Centre Drive,-117.207465,32.86694,0.083303,98.8,False
298,Palm Avenue & Wailea Way,-117.068849,32.583763,0.083293,98.8,False
299,K Street & North 10th Avenue,-117.155545,32.708385,0.083292,98.8,False
300,4th Avenue & Palm Street,-117.161267,32.735577,0.083193,98.8,False
301,63rd Street & Brooklyn Avenue,-117.062583,32.713161,0.083165,98.8,False
302,Clairemont Mesa Boulevard & Industrial Park Driveway,-117.145804,32.832866,0.083116,98.8,False
303,Caminito Jovial & Carroll Canyon Road,-117.120083,32.90324,0.083108,98.8,False
304,Alamitos Avenue & Main Street,-117.086212,32.594826,0.082746,98.8,False
305,Euclid Avenue & Isla Vista Drive,-117.09234,32.742724,0.082738,98.8,False
306,Mission Gorge Road & Mission Montana Drive,-117.066133,32.811855,0.082721,98.8,False
307,Murray Ridge Court & Murray Ridge Road,-117.141383,32.803056,0.082683,98.8,False
308,Blackfoot Avenue & Clairemont Drive,-117.196292,32.800798,0.08265,98.8,False
309,Rancho Hills Drive & Reo Drive,-117.0616,32.672291,0.082546,98.8,False
310,Fashion Valley Road & River Park Drive,-117.17014,32.764127,0.082522,98.8,False
311,Montezuma Road,-117.096709,32.772331,0.082315,98.8,False
312,Cumberland Street & Reo Drive,-117.064374,32.675287,0.082201,98.8,False
313,43rd Street & East Market Street,-117.102257,32.711464,0.082172,98.7,False
314,Couts Street,-117.191749,32.744242,0.082171,98.7,False
315,29th Street & Broadway,-117.131765,32.715848,0.082139,98.7,False
316,Harrison Avenue & South 28th Street,-117.133844,32.699715,0.082129,98.7,False
317,Morehouse Drive & Scranton Road,-117.20165,32.893653,0.082111,98.7,False
318,Otay Center Drive & Siempre Viva Road,-116.942373,32.553916,0.082108,98.7,False
319,49th Street & Imperial Avenue,-117.089389,32.704087,0.082092,98.7,False
320,Miramar Road & Miramar Way,-117.159718,32.879878,0.082016,98.7,False
321,Kearny Villa Road & Miramar Road,-117.119943,32.893903,0.082011,98.7,False
322,La Jolla Village Square Driveway & Nobel Drive,-117.231351,32.867867,0.08187,98.7,False
323,Clairemont Drive & Merrimac Avenue,-117.202744,32.833256,0.081869,98.7,False
324,Mission Center Road,-117.153863,32.775141,0.081811,98.7,False
325,Lombard Place & Nobel Drive,-117.211582,32.867158,0.081757,98.7,False
326,51st Street & Zion Avenue,-117.083267,32.79287,0.081735,98.7,False
327,Cardiff Street & San Felipe Street,-117.023659,32.709572,0.081711,98.7,False
328,Girard Avenue & Kline Street,-117.273491,32.843583,0.081705,98.7,False
329,Mount Acadia Boulevard & Mount Alifan Drive,-117.1828,32.816532,0.081703,98.7,False
330,Camino Ruiz & Carroll Canyon Road,-117.140424,32.898572,0.081427,98.7,True
331,Lausanne Drive & South Lausanne Drive,-117.040337,32.703918,0.081383,98.7,False
332,Erma Road & Scripps Ranch Boulevard,-117.111753,32.919191,0.081369,98.7,False
333,Main Street & South 28th Street,-117.133657,32.692804,0.081363,98.7,False
334,39th Street & El Cajon Boulevard,-117.110423,32.755265,0.081312,98.7,False
335,La Jolla Scenic Way & La Jolla Village Drive,-117.240972,32.870261,0.081264,98.7,False
336,East Market Street & Gateway Center Way,-117.112187,32.711534,0.080974,98.7,False
337,Iowa Street & Lincoln Avenue,-117.126466,32.750361,0.080864,98.7,False
338,Paseo de Las Americas & Siempre Viva Road,-116.935999,32.556746,0.080762,98.6,False
339,Carmel Mountain Road,-117.0844,32.978743,0.080724,98.6,False
340,Miramar Road & Padgett Street,-117.127013,32.893842,0.080591,98.6,False
341,Collwood Boulevard & Collwood Lane,-117.081358,32.760462,0.080582,98.6,False
342,Boundary Street & Suncrest Drive,-117.12825,32.762913,0.08055,98.6,False
343,Balboa Avenue & Grand Avenue,-117.234174,32.799192,0.080401,98.6,False
344,Clairemont Drive & Emet Court,-117.201152,32.81594,0.080323,98.6,False
345,Black Mountain Road & Maya Linda Road,-117.123673,32.901066,0.080305,98.6,False
346,Illinois Street & Lincoln Avenue,-117.127704,32.750352,0.080047,98.6,False
