rank,intersection_name,longitude,latitude,risk_score,percentile,became_emergent
1,National Avenue & South 40th Street,-117.10817,32.696068,0.163386,100.0,False
2,Ridgehaven Court & Ruffin Road,-117.126556,32.819511,0.163242,100.0,False
3,North Torrey Pines Road & Torrey Pines Scenic Drive,-117.243731,32.887719,0.162959,100.0,False
4,Sunset Cliffs Boulevard,-117.23296,32.759663,0.159714,100.0,True
5,Mission Gorge Road & Vandever Avenue,-117.097731,32.787689,0.159619,100.0,False
6,Carmel Mountain Road & Conference Way,-117.075608,32.985641,0.156426,100.0,False
7,Donahue Street & Friars Road,-117.188939,32.76511,0.155757,100.0,False
8,Genesee Avenue & Scripps Hospital Drive,-117.222354,32.88456,0.155538,100.0,False
9,Eastgate Mall & Judicial Drive,-117.20565,32.879847,0.150582,100.0,False
10,Francis Street & Imperial Avenue,-117.119918,32.706166,0.149063,100.0,False
11,Atwater Street & Coronado Avenue,-117.099586,32.5765,0.148723,100.0,False
12,Rueda Drive & Tierrasanta Boulevard,-117.093845,32.817696,0.146468,100.0,False
13,Desty Street & Palm Avenue,-117.077207,32.583925,0.14584,99.9,False
14,National Avenue & South 27th Street,-117.135966,32.695918,0.145781,99.9,False
15,Eta Street & North Highland Avenue,-117.10199,32.686691,0.145039,99.9,False
16,Convoy Court & Ruffner Street,-117.159264,32.834705,0.14335,99.9,False
17,Imperial Avenue,-117.055785,32.710745,0.140873,99.9,False
18,La Jolla Boulevard & Via del Norte,-117.27533,32.823109,0.140639,99.9,False
19,Camino Maquiladora & Otay Mesa Road,-116.984023,32.567942,0.140403,99.9,False
20,April Court & Genesee Avenue,-117.204111,32.850163,0.13803,99.9,False
21,Goshen Street & Linda Vista Road,-117.188216,32.770303,0.137941,99.9,False
22,25th Street & K Street,-117.140227,32.708436,0.137831,99.9,False
23,19th Street & J Street,-117.146725,32.709422,0.137204,99.9,False
24,Lusk Boulevard & Wateridge Vista Drive,-117.207649,32.900644,0.136574,99.9,False
25,West Washington Street,-117.183971,32.740888,0.136308,99.9,False
26,Balboa Avenue & Mount Everest Boulevard,-117.185455,32.8181,0.136041,99.9,False
27,Pennant Way & Regents Road,-117.219647,32.846261,0.135836,99.9,False
28,Navajo Road,-117.008405,32.802982,0.135745,99.9,False
29,Cauby Street & Rosecrans Street,-117.207315,32.748515,0.135217,99.9,False
30,Alcala Park Way & Linda Vista Road,-117.185916,32.771284,0.13375,99.9,False
31,Chatsworth Boulevard & Garrison Street,-117.23522,32.732627,0.133435,99.9,False
32,4th Avenue & Juniper Street,-117.161221,32.729295,0.131989,99.9,False
33,Adams Avenue & West Mountain View Drive,-117.126579,32.763336,0.130731,99.9,False
34,Imperial Avenue & South 39th Street,-117.110401,32.704847,0.130671,99.9,False
35,Fontaine Street & Princess View Drive,-117.078134,32.801765,0.129705,99.9,False
36,Clairemont Drive & Knapp Street,-117.196795,32.801317,0.129451,99.9,False
37,La Jolla Boulevard & Rosemont Street,-117.276974,32.827581,0.128861,99.9,False
38,Mission Boulevard & Missouri Street,-117.25663,32.800282,0.128524,99.8,False
39,47th Street & F Street,-117.093606,32.713678,0.127594,99.8,False
40,Gilman Drive & Via Alicante,-117.236288,32.862243,0.127218,99.8,False
41,Eastgate Mall & Towne Centre Drive,-117.207835,32.879187,0.126249,99.8,False
