intersection_id,y_ge2,oof_score_random,oof_rank,screen_2021_count,screen_2021,screen_any_single_year_count,screen_any_single_year,screen_6yr_count,screen_6yr
ceffef4a7ddfbfbfe0ec353d2040493f,0,0.034773778170347214,3390,0,False,0,False,1,False
7c8cad223e6bc5471c25ca408c11fb72,0,0.005638652481138706,14157,0,False,0,False,0,False
bcd12af2bc8a36642ac4ed8b04b898f6,0,0.12782104313373566,484,0,False,3,False,8,True
937333afb7c1c49303c5277ee541195c,0,0.006070152390748262,5983,0,False,0,False,0,False
21ae238b1e1171cd39c3f6c716b54ded,0,0.023052535951137543,4797,0,False,0,False,1,False
f1c875c18e971a8840a97003387beee2,0,0.08163437247276306,1055,7,True,7,True,16,True
84f8eaba4ead6a51ac1e1b0940932097,0,0.005638652481138706,14158,0,False,0,False,0,False
77e81625903396412971796461335187,0,0.01872163824737072,5369,0,False,0,False,1,False
28c0a981ddaf64bcf89c97abef870556,0,0.046928707510232925,2390,1,False,1,False,3,False
21897e36a52eef9589fa9c3a9888143f,0,0.10680728405714035,694,1,False,1,False,4,False
d165a1ff903fc7da1e8b92d148fe27e9,0,0.005638652481138706,14159,0,False,0,False,0,False
f98ecbc18bab3cb9e3fac61643fe6dd5,0,0.005638652481138706,14160,0,False,0,False,0,False
f66b76a13969ad858a9c7d67f8538d86,0,0.005884240847080946,10069,0,False,0,False,0,False
2e97bd74b71b1f2260764665bbf74e2a,0,0.020893480628728867,5001,0,False,0,False,1,False
783f06ab6328af0a4dcff6ffc8e53f23,0,0.005386295262724161,18251,0,False,0,False,0,False
b1461c9b755cf7a9b8f96c77dc40f04a,0,0.005386295262724161,18252,0,False,0,False,0,False
cb0525377326f48d4c9ba9f0d6ed5bba,0,0.005386295262724161,18253,0,False,0,False,0,False
c4a519723ccd426a25fd120045423a40,0,0.005884240847080946,10070,0,False,0,False,0,False
b34fa208ab3d2378202a00c2e42e1ef3,0,0.005638652481138706,14161,0,False,0,False,0,False
65b31431d5f2a4b78099c576713c5e4d,0,0.005386295262724161,18254,0,False,0,False,0,False
be48746238ca11db7440c4830680d7e9,0,0.0053354287520051,22345,0,False,0,False,0,False
