rank,district,name,crashes,top_reason
80,2,Kamloop Avenue & Moraga Avenue,3,Secondary arterial
95,2,Mission Boulevard & San Juan Place,4,Arterial
97,2,Littlefield Street & Morena Boulevard,2,Arterial
103,2,Balboa Avenue & Balboa Way,1,Arterial
116,2,Galveston Street & Milton Street,3,Secondary arterial
120,2,Carleton Street & Rosecrans Street,2,Arterial
130,2,Frankfort Street & Morena Boulevard,2,Secondary arterial
137,2,Asher Street & Morena Boulevard,2,Arterial
144,2,Nimitz Boulevard & Sunset Cliffs Boulevard,1,Arterial
148,2,Orchard Avenue & Sunset Cliffs Boulevard,4,Secondary arterial
149,2,Ingraham Street & Perez Cove Way,1,Arterial
158,2,Conde Street & Congress Street,2,Secondary arterial
168,2,Camino del Rio West & Jefferson Street,1,Arterial
170,2,James Street & Rosecrans Street,2,Arterial
173,2,Chatsworth Boulevard & Evergreen Street,3,Secondary arterial
175,2,Genesee Avenue & Genesee East Court,4,Arterial
196,2,Point Loma Avenue & Sunset Cliffs Boulevard,4,Secondary arterial
198,2,North Harbor Drive,2,Arterial
200,2,Sunset Place & Taylor Street,3,Arterial
212,2,Mission Boulevard & San Jose Place,4,Arterial
213,2,Clairemont Drive & Joplin Avenue,3,Arterial
218,2,Froude Street & Voltaire Street,4,Secondary arterial
224,2,Balboa Avenue & Mount Rias Place,4,Arterial
226,2,Clairemont Drive & Feather Avenue,3,Arterial
233,2,Moore Street & Old Town Avenue,4,Secondary arterial
250,2,Burgener Boulevard & Field Street,2,Secondary arterial
256,2,Freeman Street & Rosecrans Street,4,Arterial
257,2,Clairemont Drive & Hiawatha Way,4,Arterial
262,2,Old Town Avenue & San Diego Avenue,3,Secondary arterial
264,2,Balboa Arms Drive & Mount Abernathy Avenue,1,Secondary arterial
271,2,Ibsen Street & Rosecrans Street,2,Arterial
278,2,Juan Street & Mason Street,2,Secondary arterial
279,2,Loma Riviera Drive & West Point Loma Boulevard,4,Secondary arterial
286,2,Mendocino Boulevard & Voltaire Street,1,Secondary arterial
308,2,Blackfoot Avenue & Clairemont Drive,1,Arterial
314,2,Couts Street,2,Arterial
323,2,Clairemont Drive & Merrimac Avenue,3,Secondary arterial
329,2,Mount Acadia Boulevard & Mount Alifan Drive,4,Secondary arterial
344,2,Clairemont Drive & Emet Court,2,Arterial
347,2,Catalina Boulevard & Cañon Street,2,Arterial
348,2,Cañon Street & Talbot Street,4,Arterial
369,2,Frankfort Street & Milton Street,1,Secondary arterial
372,2,Rosecrans Street & Seville Street,4,Arterial
374,2,Rosecrans Street & Sterne Street,3,Arterial
378,2,Clairemont Drive & Erie Street,2,Arterial
398,2,Clairemont Mesa Boulevard & Pocahontas Avenue,0,Secondary arterial
399,2,Clairemont Drive & Fairfield Street,3,Arterial
401,2,Calle Neil & Clairemont Drive,4,Arterial
402,2,Admiral Boland Way,1,Secondary arterial
410,2,Balboa Avenue,0,Arterial
416,2,Bernice Drive & Catalina Boulevard,4,Secondary arterial
436,2,Clairemont Mesa Boulevard & Doliva Drive,2,Arterial
448,2,Hortensia Street & San Diego Avenue,1,Secondary arterial
449,2,Abbott Street & Long Branch Avenue,2,4-leg intersection
455,2,Clairemont Drive & Feather Avenue,3,Arterial
465,2,Anchorage Lane & Talbot Street,2,Secondary arterial
470,2,Catalina Boulevard & Talbot Street,2,Secondary arterial
471,2,Ebers Street & Niagara Avenue,2,4-leg intersection
481,2,Ashford Street & Salizar Street,2,4-leg intersection
486,2,Balboa Avenue & Mount Culebra Avenue,2,Arterial
490,2,Pacific Highway & Sports Arena Boulevard,2,Arterial
499,2,Atascadero Drive & Nimitz Boulevard,4,Arterial
503,2,Mission Boulevard & San Gabriel Place,4,Secondary arterial
505,2,Rosecrans Street & Shelter Island Drive,0,Arterial
508,2,Abbott Street & Muir Avenue,2,4-leg intersection
509,2,Chatsworth Boulevard & Milan Street,3,Secondary arterial
510,2,Chateau Drive & Genesee Avenue,2,Arterial
513,2,Clairemont Drive & Hartford Street,1,Arterial
521,2,Clairemont Mesa Boulevard & Regents Road,2,Secondary arterial
534,2,Congress Street & Harney Street,2,Secondary arterial
536,2,Cañon Street,2,Arterial
538,2,Midway Drive,4,Arterial
541,2,Froude Street & Santa Monica Avenue,3,4-leg intersection
548,2,Sports Arena Boulevard,1,Arterial
550,2,Balboa Avenue,3,Arterial
561,2,Catalina Boulevard & Cañon Street,3,Arterial
574,2,Venice Street & Voltaire Street,3,Secondary arterial
577,2,Avenida de Portugal & Scott Street,2,Secondary arterial
588,2,Balboa Avenue & Genesee Avenue,3,Arterial
628,2,Pacific Highway,1,Arterial
640,2,Dana Landing Road & West Mission Bay Drive,0,Arterial
644,2,Jellett Street & Morena Boulevard,2,Arterial
647,2,Brighton Avenue & Cable Street,3,Transit stop 19 m away
660,2,Moraga Avenue & Moraga Court,2,Secondary arterial
661,2,Bermuda Avenue & Sunset Cliffs Boulevard,3,Secondary arterial
663,2,Chatsworth Boulevard & Quimby Street,0,Secondary arterial
668,2,West Mission Bay Drive,2,Arterial
673,2,Catalina Boulevard & Chatsworth Boulevard,3,Secondary arterial
678,2,Sports Arena Boulevard,1,Arterial
687,2,Midway Drive,1,Arterial
688,2,Nimitz Boulevard & West Point Loma Boulevard,4,Arterial
702,2,West Laurel Street,2,Arterial
706,2,Lotus Street & Sunset Cliffs Boulevard,4,Secondary arterial
710,2,Bacon Street & Cape May Avenue,3,4-leg intersection
712,2,Lee Court & North Harbor Drive,4,Arterial
714,2,Froude Street & Point Loma Avenue,1,Secondary arterial
719,2,Bermuda Circle & Santa Barbara Street,2,4-leg intersection
733,2,Catalina Boulevard & Famosa Boulevard,2,Secondary arterial
738,2,Poe Street & Rosecrans Street,0,Arterial
755,2,Catalina Boulevard & Del Monte Avenue,2,Secondary arterial
758,2,Abbott Street & Voltaire Street,2,4-leg intersection
762,2,Chatsworth Boulevard & Freeman Street,3,Secondary arterial
763,2,Chateau Drive & Derrick Drive,2,4-leg intersection
772,2,Laning Road & Rosecrans Street,2,Arterial
788,2,Catalina Boulevard & Varona Street,2,Secondary arterial
790,2,Catalina Boulevard & Catalina Court,2,Secondary arterial
791,2,Camino del Rio West & Jefferson Street,1,Arterial
793,2,North Harbor Drive,1,Arterial
794,2,Intersection 2cd2fdc8,1,Arterial
800,2,Bacon Street & Brighton Avenue,3,4-leg intersection
803,2,Lowell Street & Willow Street,4,Transit stop 22 m away
804,2,East Drive & Sports Arena Boulevard,0,Secondary arterial
805,2,Catalina Boulevard & Dupont Street,1,Arterial
806,2,Morena Boulevard & Napier Street,1,Arterial
815,2,Mount Acadia Boulevard & Mount Burnham Drive,4,Secondary arterial
816,2,Ebers Street & Narragansett Avenue,2,4-leg intersection
825,2,Ebers Street & Orchard Avenue,3,Transit stop 30 m away
827,2,Mount Abraham Avenue & Mount Alifan Drive,4,Secondary arterial
832,2,Catalina Boulevard & Charles Street,1,Arterial
833,2,Balboa Avenue,0,Arterial
845,2,Kettner Boulevard & West Palm Street,1,Secondary arterial
849,2,Catalina Boulevard & La Paloma Street,1,Secondary arterial
850,2,Juan Street & Wallace Street,2,Secondary arterial
857,2,Morena Boulevard & West Morena Boulevard,2,Arterial
868,2,Genesee Avenue & Mount Etna Drive,0,Arterial
878,2,Farragut Road & Rosecrans Street,2,Arterial
896,2,Cañon Street & Valemont Street,0,Arterial
901,2,Froude Street & Long Branch Avenue,2,4-leg intersection
912,2,Dickens Street & Scott Street,2,Secondary arterial
914,2,Oliphant Street & Rosecrans Street,0,Arterial
916,2,Witherby Street,2,Arterial
919,2,Emerson Street & Rosecrans Street,3,Arterial
938,2,Keats Street & Rosecrans Street,2,Arterial
939,2,Etiwanda Street & Voltaire Street,1,Secondary arterial
942,2,Dickens Street & Rosecrans Street,4,Arterial
943,2,Alicia Drive & Catalina Boulevard,3,Secondary arterial
951,2,West Mission Bay Drive,2,89 km/h speed limit
953,2,Rosecrans Street & Whittier Street,1,Arterial
955,2,Airport Terminal Road & Harbor Island Drive,2,Arterial
961,2,Chatsworth Boulevard & Wawona Drive,1,Secondary arterial
966,2,Nimitz Boulevard & North Harbor Drive,0,Arterial
969,2,Capistrano Street & Nimitz Boulevard,1,Arterial
977,2,Pacific Highway,1,Arterial
997,2,Friars Road & Sea World Drive,0,Arterial
1000,2,North Harbor Drive & Scott Street,0,Secondary arterial
7,3,Donahue Street & Friars Road,0,Arterial
32,3,4th Avenue & Juniper Street,4,Secondary arterial
46,3,Friars Road & Gill Village Way,3,Major arterial
48,3,Friars Road & Gaines Street,1,Arterial
49,3,26th Street & A Street,2,Secondary arterial
55,3,30th Street & Palm Street,2,Secondary arterial
65,3,Pacific Highway & West Ash Street,4,Arterial
66,3,30th Street & Dwight Street,3,Secondary arterial
71,3,30th Street & Monroe Avenue,3,Secondary arterial
93,3,6th Avenue & Ivy Lane,2,Arterial
99,3,Camino de la Siesta & Camino del Rio North,3,Secondary arterial
109,3,Herbert Street & University Avenue,3,Arterial
117,3,Friars Road,3,Major arterial
121,3,Colusa Street & Friars Road,3,Arterial
123,3,Lincoln Avenue & Texas Street,4,Secondary arterial
124,3,Madison Avenue & Oregon Street,3,Secondary arterial
131,3,Camino del Rio North,1,Secondary arterial
134,3,University Avenue,4,Arterial
135,3,Albatross Street & West Hawthorn Street,3,Secondary arterial
139,3,13th Street & J Street,3,Secondary arterial
145,3,Idaho Street & Madison Avenue,3,Secondary arterial
153,3,Ibis Street & Washington Place,3,Arterial
162,3,30th Street & Myrtle Avenue,2,Secondary arterial
163,3,Idaho Street & University Avenue,3,Arterial
165,3,University Avenue,2,Arterial
166,3,Fern Street & Juniper Street,2,Secondary arterial
167,3,Union Street & West Broadway,2,Arterial
180,3,Hotel Circle North & Hotel Circle South,3,Secondary arterial
205,3,Kettner Boulevard & West Laurel Street,3,Secondary arterial
208,3,Inspiration Point Way & Park Boulevard,2,Arterial
214,3,5th Avenue & Brookes Avenue,4,Secondary arterial
232,3,India Street & West Juniper Street,2,Secondary arterial
236,3,28th Street & Broadway,3,Arterial
244,3,6th Avenue & Palm Street,4,Arterial
258,3,Jacaranda Drive & Jacaranda Place,3,Secondary arterial
281,3,Adams Avenue & Arizona Street,3,Last crash ~5 years ago
282,3,Georgia Street & Madison Avenue,3,Secondary arterial
287,3,4th Avenue & Nutmeg Street,1,Secondary arterial
291,3,Bancroft Street & Boundary Street,3,Secondary arterial
296,3,MTS Rapid Busway & Park Boulevard,2,Arterial
299,3,K Street & North 10th Avenue,1,Arterial
300,3,4th Avenue & Palm Street,3,Secondary arterial
310,3,Fashion Valley Road & River Park Drive,4,Secondary arterial
315,3,29th Street & Broadway,1,Arterial
324,3,Mission Center Road,2,Major arterial
337,3,Iowa Street & Lincoln Avenue,2,Secondary arterial
342,3,Boundary Street & Suncrest Drive,3,Secondary arterial
346,3,Illinois Street & Lincoln Avenue,3,Secondary arterial
350,3,Pershing Drive & Upas Street,3,Secondary arterial
352,3,University Avenue & Vermont Street,0,Arterial
353,3,6th Avenue & Grape Street,2,Arterial
356,3,Madison Avenue & Utah Street,3,Secondary arterial
358,3,Camino de la Reina & Camino del Arroyo,3,Secondary arterial
360,3,Cleveland Avenue & Richmond Street,2,Secondary arterial
375,3,Park Boulevard & Village Place,2,Arterial
383,3,4th Avenue & Upas Street,2,Secondary arterial
388,3,Friars Road,0,Arterial
389,3,30th Street & Fern Street,3,Secondary arterial
390,3,30th Street & Landis Street,3,Secondary arterial
392,3,State Street & West Date Street,2,Secondary arterial
397,3,27th Street & B Street,3,Secondary arterial
405,3,4th Avenue & Kalmia Street,3,Secondary arterial
406,3,Adams Avenue & Alabama Street,2,Secondary arterial
415,3,Kettner Boulevard & West Date Street,2,Secondary arterial
418,3,Eagle Street & West Washington Street,2,Arterial
422,3,India Street & West Spruce Street,3,Secondary arterial
426,3,California Street & Kettner Boulevard,1,Secondary arterial
430,3,F Street & Front Street,4,Secondary arterial
440,3,Columbia Street & West Cedar Street,1,Secondary arterial
443,3,Howard Avenue & Park Boulevard,1,Arterial
445,3,West Washington Street,1,Arterial
447,3,Park Boulevard & Polk Avenue,0,Arterial
453,3,Falcon Street & West Washington Street,4,Arterial
456,3,Brookes Avenue & Park Boulevard,3,Arterial
466,3,21st Street & Broadway,3,Arterial
484,3,Friars Road,4,Major arterial
485,3,Bayfront Court & Pacific Highway,4,Arterial
496,3,Hotel Circle Court & Hotel Circle South,4,Secondary arterial
502,3,2nd Avenue & Hawthorn Street,1,Secondary arterial
507,3,Friars Road & Via Las Cumbres,0,Arterial
520,3,Kansas Street & Meade Avenue,3,Secondary arterial
523,3,Alabama Street & Madison Avenue,2,Secondary arterial
531,3,Colusa Street & Friars Road,1,Arterial
532,3,28th Street & B Street,4,Secondary arterial
537,3,17th Street & Island Avenue,4,Secondary arterial
542,3,Alabama Street & University Avenue,0,Arterial
546,3,5th Avenue & Quince Street,2,Secondary arterial
552,3,India Street & West Kalmia Street,2,Secondary arterial
553,3,El Cajon Boulevard,1,Arterial
554,3,Kettner Boulevard & West Beech Street,4,Secondary arterial
564,3,Pacific Highway & West G Street,2,Arterial
565,3,30th Street & Thorn Street,4,Secondary arterial
571,3,West Harbor Drive & West Market Street,2,Arterial
573,3,Adams Avenue & Panorama Drive,2,Secondary arterial
575,3,21st Street & B Street,2,Secondary arterial
580,3,Indiana Street & Park Boulevard,2,Arterial
583,3,8th Avenue & University Avenue,0,Arterial
586,3,26th Street & C Street,2,Transit stop 10 m away
591,3,Date Street & Fern Street,2,Secondary arterial
592,3,India Street & West Ash Street,3,Secondary arterial
597,3,State Street & West G Street,4,Secondary arterial
598,3,Mission Center Road & Mission Valley Road,3,Secondary arterial
601,3,University Avenue & Uptown Center,1,Arterial
