rank,district,name,crashes,top_reason
775,4,61st Street & Imperial Avenue,3,Arterial
853,4,Alta View Drive & Bougainville Road,2,4-leg intersection
854,4,Logan Avenue & South 36th Street,2,4-leg intersection
870,4,Lemon Grove Avenue & Viewcrest Drive,2,Arterial
877,4,Dardaina Drive & Parkside Avenue,2,Secondary arterial
880,4,National Avenue & Wallace Court,1,Arterial
913,4,East Market Street & Euclid Avenue,2,Arterial
915,4,Logan Avenue & Magenta Street,4,~3 lanes
930,4,East Market Street,1,Last crash ~4 years ago
934,4,54th Street & Redwood Street,0,Arterial
941,4,54th Street & College Grove Drive,1,Arterial
967,4,Bolivar Street & Reo Drive,0,Secondary arterial
974,4,Richeth Road & Valencia Parkway,1,Secondary arterial
979,4,Jamacha Road & Lisbon Street,1,Transit stop 24 m away
992,4,Altamont Drive & Reo Drive,2,Secondary arterial
6,5,Carmel Mountain Road & Conference Way,3,Arterial
42,5,Glenhurst Way & Rancho Carmel Drive,1,Secondary arterial
105,5,Acena Drive & Rancho Bernardo Road,1,Arterial
129,5,Carmel Mountain Road,2,Arterial
132,5,Camino del Norte & World Trade Drive,3,Arterial
151,5,Hibert Street & Mira Mesa Boulevard,3,Arterial
152,5,Caminito Bolsa & Carmel Mountain Road,3,Arterial
154,5,Rancho Peñasquitos Boulevard & Via del Sud,2,Arterial
155,5,Evening Creek Drive East & Evening Creek Drive North,2,Secondary arterial
176,5,Avenida Abeja & Bernardo Center Drive,3,Arterial
187,5,Highland Ranch Road & Ted Williams Parkway,2,Arterial
199,5,Rancho Carmel Drive,4,Secondary arterial
217,5,Bernardo Center Drive & Fairlie Road,2,Secondary arterial
219,5,Carmel Mountain Road & Cuca Street,3,Secondary arterial
220,5,Carmel Mountain Express Drive & Sabre Springs Parkway,4,Secondary arterial
222,5,Calle Saucillo & Paseo Lucido,3,Secondary arterial
248,5,Avenida Villaha & Bernardo Heights Parkway,4,Secondary arterial
251,5,George Cooke Express Drive & West Bernardo Drive,4,Secondary arterial
253,5,Sabre Springs Parkway & Savannah Creek Drive,4,Secondary arterial
275,5,Carmel Mountain Road & Via San Marco,0,Secondary arterial
332,5,Erma Road & Scripps Ranch Boulevard,1,Secondary arterial
339,5,Carmel Mountain Road,1,Arterial
385,5,Bernardo Center Drive & Cloudcrest Drive,4,Arterial
391,5,Black Mountain Road & Pimpernel Drive,2,Arterial
414,5,Bernardo Center Drive & Bernardo Terrace,1,Secondary arterial
420,5,Carmel Mountain Road & Via Rimini,3,Secondary arterial
434,5,Rancho Carmel Drive & Shoal Creek Drive,0,Secondary arterial
439,5,Via del Campo & West Bernardo Drive,2,Secondary arterial
450,5,Camino del Sur & Casey Glen,2,Arterial
451,5,Carmel Mountain Road & Via Cima Bella,3,Arterial
463,5,Rancho Carmel Drive & Sabre Springs Parkway,4,Arterial
468,5,Old Milky Way & San Pasqual Valley Road,4,Arterial
474,5,Scripps Ranch Boulevard,4,Arterial
480,5,Carmel Mountain Road,2,Arterial
491,5,Carmel Mountain Road & Conference Way,3,~4 lanes
525,5,Provencal Place & Rancho Carmel Drive,4,Secondary arterial
528,5,Carmel Mountain Road & Paseo Montalban,2,Arterial
544,5,Bernardo Center Drive & Maturin Drive,4,Arterial
547,5,Babcock Street & Camino del Sur,2,Arterial
557,5,Bryn Glen Way & Camino del Sur,3,Arterial
567,5,Scripps Lake Drive & Scripps Ranch Boulevard,1,Arterial
579,5,Alondra Drive & Rancho Bernardo Road,2,Secondary arterial
582,5,Eastbourne Road & Highland Ranch Road,3,Secondary arterial
590,5,Rancho Peñasquitos Boulevard,2,Arterial
599,5,Camino del Sur & Lazanja Drive,3,Arterial
614,5,Carmel Mountain Road & Gerana Street,0,Secondary arterial
615,5,Paseo Montalban & Via Cima Bella,2,Secondary arterial
617,5,Avenida la Valencia & Pomerado Road,4,Last crash ~5 years ago
627,5,Rancho Carmel Drive,2,Secondary arterial
630,5,Nacido Drive & Pomerado Road,1,Last crash ~4 years ago
633,5,Poway Road & Springhurst Drive,3,Arterial
666,5,Camino del Norte & Camino del Sur,2,Arterial
734,5,Caminito Vistana & Carmel Valley Road,2,Arterial
739,5,West Bernardo Drive,4,Secondary arterial
745,5,Carmel Ridge Road & Ted Williams Parkway,1,Arterial
750,5,Carmel Mountain Road & Paseo Aldabra,2,Arterial
760,5,Bernardo Center Drive & West Bernardo Drive,2,Secondary arterial
766,5,Rancho Carmel Drive & Sabre Springs Parkway,2,Arterial
781,5,Sabre Springs Parkway,1,Secondary arterial
809,5,West Bernardo Court & West Bernardo Drive,3,Secondary arterial
856,5,Olmeda Way & Rancho Bernardo Road,0,Arterial
869,5,Carmel Mountain Road & Stoney Creek Road,3,Secondary arterial
927,5,Matinal Road & Rancho Bernardo Road,4,Arterial
929,5,Calle de Las Rosas & Rancho Peñasquitos Boulevard,0,Arterial
990,5,Spring Canyon Road & Waterton Road,2,Secondary arterial
9,6,Eastgate Mall & Judicial Drive,3,Secondary arterial
16,6,Convoy Court & Ruffner Street,2,Secondary arterial
20,6,April Court & Genesee Avenue,4,Arterial
24,6,Lusk Boulevard & Wateridge Vista Drive,3,Secondary arterial
27,6,Pennant Way & Regents Road,4,Secondary arterial
41,6,Eastgate Mall & Towne Centre Drive,0,Secondary arterial
52,6,Governor Drive & Radcliffe Drive,2,Secondary arterial
53,6,Camino Santa Fe & Flanders Drive,4,Secondary arterial
57,6,Convoy Street & Raytheon Road,4,Arterial
64,6,Clairemont Mesa Boulevard & Industrial Park Driveway,4,Arterial
67,6,Miramar Road & Rigel Avenue,3,Arterial
76,6,Lusk Boulevard & Pacific Center Boulevard,3,Secondary arterial
86,6,Mira Mesa Boulevard & New Salem Street,4,Arterial
90,6,AleSmith Court & Miramar Road,3,Arterial
94,6,Eastgate Mall & Genesee Avenue,2,Arterial
104,6,Dabney Drive & Mira Mesa Boulevard,2,Arterial
111,6,Miracrest Place & Miramar Road,2,Arterial
112,6,Eastgate Mall & Regents Road,2,Secondary arterial
113,6,Camino Ruiz & Jade Coast Road,4,Secondary arterial
133,6,Clairemont Mesa Boulevard & Complex Street,1,Arterial
147,6,Kearny Mesa Road & Mercury Street,4,Secondary arterial
161,6,Lightwave Avenue & Overland Avenue,1,Secondary arterial
184,6,Camino Santa Fe & Top Gun Street,0,Secondary arterial
194,6,Clairemont Mesa Boulevard & Overland Avenue,3,Arterial
195,6,Executive Drive & Miramar Street,4,Secondary arterial
197,6,Ronson Road & Ruffner Street,3,4-leg intersection
201,6,Convoy Street,3,Arterial
215,6,Caminito Plaza Centro & Nobel Drive,3,Secondary arterial
221,6,Clairemont Mesa Boulevard & Industrial Park Driveway,1,~4 lanes
229,6,Galvin Avenue & Westview Parkway,4,Secondary arterial
242,6,Camino Santa Fe & Construction Court,2,Secondary arterial
243,6,Mira Mesa Boulevard & Penridge Street,3,Arterial
249,6,Sorrento Valley Road,2,Arterial
260,6,Clairemont Mesa Boulevard & Murphy Canyon Road,0,Arterial
265,6,Avenida del Gato & Calle Cristobal,1,Secondary arterial
270,6,Cargill Avenue & Nobel Drive,2,Secondary arterial
272,6,Camino Ruiz & Jade Coast Drive,4,Secondary arterial
297,6,Renaissance Avenue & Towne Centre Drive,4,Secondary arterial
302,6,Clairemont Mesa Boulevard & Industrial Park Driveway,2,~4 lanes
303,6,Caminito Jovial & Carroll Canyon Road,1,Secondary arterial
317,6,Morehouse Drive & Scranton Road,2,Secondary arterial
320,6,Miramar Road & Miramar Way,0,Arterial
321,6,Kearny Villa Road & Miramar Road,2,Arterial
325,6,Lombard Place & Nobel Drive,3,Secondary arterial
330,6,Camino Ruiz & Carroll Canyon Road,3,Secondary arterial
340,6,Miramar Road & Padgett Street,0,Arterial
345,6,Black Mountain Road & Maya Linda Road,4,Arterial
354,6,Costa Verde Boulevard & La Jolla Village Drive,1,Arterial
355,6,La Jolla Village Drive & Lebon Drive,2,Arterial
359,6,Campus Point Drive & Genesee Avenue,2,Arterial
370,6,Kearny Villa Road,0,Secondary arterial
387,6,Clayton Drive & Miramar Road,0,Arterial
412,6,Commerce Avenue & Miramar Road,3,Arterial
423,6,Health Sciences Drive & Regents Road,1,Secondary arterial
437,6,Camino Ruiz & Miramar Road,0,Arterial
438,6,Autoport Mall & Eastgate Mall,2,Secondary arterial
446,6,Alemania Road & Mercy Road,0,Arterial
464,6,Costa Verde Boulevard & La Jolla Village Drive,2,Arterial
487,6,Flanders Drive & Flanders Place,3,Secondary arterial
497,6,Genesee Avenue & La Jolla Village Drive,1,Arterial
512,6,Mira Mesa Boulevard & Pacific Heights Boulevard,0,Arterial
514,6,Kearny Villa Road & Tierra Grande Street,2,Last crash ~5 years ago
518,6,Barnes Canyon Road & Lusk Boulevard,4,Secondary arterial
519,6,Convoy Street & Vickers Street,2,Arterial
529,6,Erlanger Street & Governor Drive,1,Secondary arterial
535,6,Carroll Canyon Road,2,Secondary arterial
587,6,La Jolla Village Drive & Towne Centre Drive,3,Arterial
593,6,Kearny Villa Road & Tierra Grande Street,1,Arterial
595,6,Genesee Avenue & Regents Road,2,~3 lanes
634,6,Mira Mesa Boulevard & Westview Parkway,2,Arterial
643,6,Chesapeake Drive & Clairemont Mesa Boulevard,1,Transit stop 33 m away
653,6,Cozzens Street & Governor Drive,1,Secondary arterial
662,6,Dagget Street & Mercury Street,4,Secondary arterial
679,6,Darden Road & Flanders Drive,1,Secondary arterial
690,6,Stadium Street & Stetson Avenue,3,Secondary arterial
698,6,Genesee Avenue & Regents Road,1,Last crash ~5 years ago
707,6,Clairemont Mesa Boulevard & Convoy Street,3,Arterial
723,6,Clairemont Mesa Boulevard & Shawline Street,1,Arterial
726,6,Esplanade Court & Genesee Avenue,4,Arterial
752,6,Business Access Road & Carroll Canyon Road,1,Secondary arterial
754,6,Ashford Street & Batista Street,2,4-leg intersection
767,6,Clairemont Mesa Boulevard & Mercury Street,0,Arterial
768,6,Balboa Avenue & Convoy Street,4,Arterial
774,6,McKellar Court & Pacific Center Boulevard,2,4-leg intersection
779,6,Camino Santa Fe & Commerce Avenue,2,Secondary arterial
787,6,Balboa Avenue & Mercury Street,3,Arterial
798,6,Chesapeake Drive & Ruffin Road,2,Arterial
808,6,Scranton Road & Sorrento South Driveway,2,~3 lanes
811,6,Camino Santa Fe & Flanders Drive,1,~4 lanes
818,6,Flanders Drive & Sequence Drive,1,Secondary arterial
826,6,Clairemont Mesa Boulevard & Kearny Mesa Road,3,Arterial
828,6,Balboa Avenue & Kearny Villa Road,4,Arterial
834,6,Mercury Street & Ronson Road,4,4-leg intersection
840,6,Legacy Road & Pomerado Road,4,Arterial
876,6,Calle Cristobal & Camino Ruiz,0,Secondary arterial
882,6,Clairemont Mesa Boulevard & Ruffner Street,1,Arterial
885,6,Opportunity Road & Ruffner Street,2,4-leg intersection
893,6,Camino Ruiz & Hydra Lane,2,Secondary arterial
900,6,Mira Mesa Boulevard,0,Arterial
908,6,Towne Center Plaza & Towne Centre Drive,1,Secondary arterial
922,6,Executive Drive & Genesee Avenue,0,Arterial
932,6,Camino Santa Fe & Frost-Mar Place,4,Arterial
956,6,Aderman Avenue & Mira Mesa Boulevard,0,Arterial
957,6,Armstrong Street & Ashford Street,3,4-leg intersection
959,6,Convoy Street & Opportunity Road,2,4-leg intersection
972,6,Dowdy Drive & Miramar Road,2,Arterial
975,6,Black Mountain Road & Miramar Road,1,Arterial
980,6,Balboa Avenue,1,Secondary arterial
989,6,Carroll Road & Crestmar Point,3,Secondary arterial
991,6,Balboa Avenue & Kearny Villa Road,4,Arterial
994,6,Ruffin Road & Spectrum Center Boulevard,4,~6 lanes
995,6,Sorrento Valley Boulevard & Sunny Mesa Road,2,Secondary arterial
2,7,Ridgehaven Court & Ruffin Road,4,Secondary arterial
5,7,Mission Gorge Road & Vandever Avenue,3,Arterial
12,7,Rueda Drive & Tierrasanta Boulevard,2,Secondary arterial
21,7,Goshen Street & Linda Vista Road,4,Arterial
28,7,Navajo Road,0,Arterial
30,7,Alcala Park Way & Linda Vista Road,2,Arterial
35,7,Fontaine Street & Princess View Drive,4,Secondary arterial
47,7,Aero Drive & West Canyon Avenue,1,Arterial
50,7,Antigua Boulevard & Santo Road,4,Arterial
60,7,Rancho Mission Road & Ward Road,3,Secondary arterial
87,7,Galewood Street & Waring Road,0,Secondary arterial
89,7,Greenbrier Avenue & Mission Gorge Road,3,Arterial
96,7,Camino Estrellado & Margerum Avenue,2,Arterial
110,7,Health Center Drive & Vista Hill Avenue,3,Secondary arterial
115,7,Rueda Drive & Tierrasanta Boulevard,2,Secondary arterial
125,7,Friars Road,2,Major arterial
126,7,Aero Drive & Glen L Curtis Road,4,Arterial
136,7,Fashion Hills Boulevard & Ulric Street,3,Secondary arterial
143,7,Greenbrier Avenue & Waring Road,3,Secondary arterial
146,7,Linda Vista Road & North Rim Court,3,Arterial
172,7,Clairemont Mesa Boulevard & Repecho Drive,2,Arterial
177,7,Morena Boulevard & Savannah Street,2,Secondary arterial
182,7,Ducos Place & Tierrasanta Boulevard,2,Secondary arterial
190,7,Mission Gorge Road,1,Arterial
203,7,Ulric Street,0,Secondary arterial
204,7,Navajo Road & Park Ridge Boulevard,0,Arterial
206,7,Morena Boulevard & Viola Street,2,Secondary arterial
228,7,Larkdale Avenue & Murray Ridge Road,4,Secondary arterial
235,7,Alcala Knolls Drive & Linda Vista Road,3,Last crash ~5 years ago
237,7,Remora Street & Santo Road,3,Arterial
261,7,Aero Drive,3,Arterial
263,7,Navajo Road,4,Arterial
267,7,Friars Road,4,Major arterial
273,7,Cardinal Road & Genesee Avenue,3,Arterial
274,7,Caminito Cuervo & Rancho Mission Road,3,Secondary arterial
276,7,Friars Road,1,Arterial
280,7,East Jewett Street & Eastman Street,4,Secondary arterial
285,7,La Cuenta Drive & Tierrasanta Boulevard,4,Secondary arterial
306,7,Mission Gorge Road & Mission Montana Drive,2,Arterial
307,7,Murray Ridge Court & Murray Ridge Road,2,Secondary arterial
326,7,51st Street & Zion Avenue,2,Secondary arterial
351,7,Clairemont Mesa Boulevard & La Cuenta Drive,2,Secondary arterial
357,7,Golfcrest Drive & Jackson Drive,3,Secondary arterial
365,7,Crawford Street & Zion Avenue,1,Secondary arterial
366,7,Genesee Avenue & Park Mesa Way,3,Arterial
386,7,Azusa Street & Gaines Street,3,Secondary arterial
395,7,Cowles Mountain Boulevard & Jackson Drive,0,Secondary arterial
396,7,Genesee Avenue & Health Center Drive,4,Secondary arterial
408,7,Friars Road & Santo Road,1,Arterial
424,7,Princess View Drive & Princess View Way,2,Secondary arterial
425,7,Mission Village Drive & Shawn Avenue,4,Secondary arterial
452,7,Navajo Road,1,4-leg intersection
458,7,Burroughs Street & Ulric Street,3,Secondary arterial
506,7,Orleck Street & Santo Road,2,Arterial
516,7,Clairemont Mesa Boulevard & Santo Road,1,Arterial
517,7,Rancho Mission Road,0,Secondary arterial
524,7,Birchwood Street & Waring Road,2,Secondary arterial
533,7,Clairemont Mesa Boulevard & Santo Road,2,Arterial
539,7,La Cuenta Drive & Lamentin Court,1,Secondary arterial
545,7,Cariuto Court & La Cuenta Drive,2,Secondary arterial
549,7,Aero Drive & Santo Road,4,Arterial
563,7,Berger Avenue & Mesa College Drive,1,Secondary arterial
572,7,John J Montgomery Drive & Sandrock Road,3,Arterial
576,7,Osler Street & Ulric Street,4,Secondary arterial
589,7,Jackson Drive & Twin Lake Drive,2,Secondary arterial
607,7,Linda Vista Road & Metro Street,3,Arterial
608,7,Princess View Drive & Waring Road,2,~4 lanes
621,7,Balboa Avenue & Ruffin Road,4,Secondary arterial
629,7,Friars Road & Northside Drive,2,Major arterial
631,7,Morena Boulevard & Sherman Street,2,Arterial
639,7,Allied Road & Mission Gorge Road,1,~3 lanes
656,7,Comstock Street & Osler Street,2,4-leg intersection
670,7,Friars Road & Rancho Mission Road,2,Arterial
676,7,Gramercy Drive,2,Last crash ~5 years ago
681,7,Friars Road & River Park Road,1,~5 lanes
691,7,Esplendente Boulevard & Tierrasanta Boulevard,0,Secondary arterial
692,7,Macawa Avenue & Murray Ridge Road,2,Secondary arterial
696,7,Princess View Court & Princess View Drive,1,Secondary arterial
697,7,Friars Road & Mission Gorge Road,4,Arterial
724,7,Qualcomm Way & Rio San Diego Drive,4,Arterial
732,7,Ulric Street,1,Secondary arterial
749,7,Friars Road,1,Last crash ~3 years ago
751,7,Buenos Avenue & Morena Boulevard,3,Secondary arterial
771,7,Golfcrest Drive & Jackson Drive,2,~4 lanes
802,7,Jackson Drive & Lake Badin Avenue,3,Secondary arterial
846,7,Golfcrest Drive & Golfcrest Place,1,Secondary arterial
871,7,Jackson Drive & Winding Creek Drive,3,Secondary arterial
895,7,Friars Road,1,Major arterial
898,7,College Avenue & Waring Road,3,Arterial
906,7,Margerum Avenue & Mission Gorge Road,4,Arterial
926,7,Adobe Falls Road & Waring Road,3,Secondary arterial
931,7,Lake Murray Boulevard,1,Arterial
947,7,Cowles Mountain Boulevard & Navajo Road,2,Arterial
960,7,Bisby Lake Avenue & Navajo Road,0,Arterial
973,7,Seaman Street & Zion Avenue,2,Secondary arterial
996,7,Friars Road,1,Major arterial
11,8,Atwater Street & Coronado Avenue,4,Arterial
13,8,Desty Street & Palm Avenue,3,Arterial
14,8,National Avenue & South 27th Street,4,Arterial
15,8,Eta Street & North Highland Avenue,2,Arterial
19,8,Camino Maquiladora & Otay Mesa Road,3,Arterial
22,8,25th Street & K Street,4,Secondary arterial
23,8,19th Street & J Street,3,Secondary arterial
69,8,Michael Faraday Drive & Siempre Viva Road,4,Secondary arterial
70,8,National Avenue & South 26th Street,4,Arterial
73,8,Emerald Crescent & Otay Mesa Road,4,Arterial
91,8,Corporate Center Drive & Otay Mesa Road,4,Arterial
100,8,Otay Mesa Road & Piper Ranch Road,4,Arterial
108,8,Beejay Drive & Palm Avenue,1,Arterial
119,8,Coronado Avenue,0,Arterial
138,8,Beardsley Street & National Avenue,4,Arterial
156,8,East Harbor Drive & Pier 24 Street,2,Arterial
157,8,National Avenue & South 33rd Street,4,Arterial
159,8,Drucker Lane & Siempre Viva Road,2,Secondary arterial
164,8,West San Ysidro Boulevard,1,Arterial
171,8,Iris Avenue & Monterey Pine Drive,4,Secondary arterial
174,8,Britannia Boulevard & Otay Mesa Road,2,Arterial
181,8,Ailsa Court & Otay Mesa Road,2,Arterial
192,8,Keeler Avenue & South 43rd Street,3,Arterial
202,8,Customhouse Plaza & Siempre Viva Road,0,Secondary arterial
209,8,Main Street & Schley Street,2,Secondary arterial
210,8,Main Street & Thor Street,1,Secondary arterial
230,8,Otay Pacific Drive & Siempre Viva Road,3,Secondary arterial
241,8,Beyer Way & Coronado Avenue,3,Secondary arterial
246,8,Del Sol Boulevard & Marcwade Drive,4,Secondary arterial
252,8,25th Street & L Street,2,Secondary arterial
288,8,Martin Avenue & South 32nd Street,3,Secondary arterial
292,8,South 43rd Street,2,Arterial
298,8,Palm Avenue & Wailea Way,3,Arterial
304,8,Alamitos Avenue & Main Street,2,Secondary arterial
316,8,Harrison Avenue & South 28th Street,2,Secondary arterial
318,8,Otay Center Drive & Siempre Viva Road,0,Secondary arterial
333,8,Main Street & South 28th Street,0,Arterial
338,8,Paseo de Las Americas & Siempre Viva Road,3,Secondary arterial
362,8,Main Street & South 27th Street,1,Secondary arterial
371,8,Beyer Boulevard & Del Sur Boulevard,4,Secondary arterial
373,8,National Avenue & Sigsbee Street,2,Arterial
379,8,Avenida Costa Brava & Siempre Viva Road,1,Secondary arterial
384,8,19th Street & Island Avenue,4,Secondary arterial
393,8,Main Street & Siva Street,2,Secondary arterial
403,8,Harris Avenue & Palm Avenue,4,Arterial
417,8,Logan Avenue & South 32nd Street,4,Secondary arterial
421,8,Beyer Boulevard & Kaanapali Way,0,Arterial
431,8,27th Street & Iris Avenue,3,Secondary arterial
432,8,Enrico Fermi Drive & Siempre Viva Road,2,Secondary arterial
435,8,Calle Primera & Sycamore Road,1,Secondary arterial
441,8,22nd Street & G Street,4,Secondary arterial
442,8,22nd Street & Island Avenue,3,Secondary arterial
444,8,La Media Road & Otay Mesa Road,3,Arterial
454,8,Bibler Drive & Camino de la Plaza,3,Secondary arterial
459,8,Palm Avenue & Saturn Boulevard,0,Major arterial
482,8,Airway Road & Enrico Fermi Drive,2,Secondary arterial
488,8,Coronado Avenue,0,Arterial
492,8,24th Street & G Street,3,Secondary arterial
504,8,Coronado Avenue & Madden Avenue,1,~3 lanes
511,8,Sigsbee Street & South 16th Street,3,4-leg intersection
527,8,Beyer Boulevard & Caulfield Drive,2,Arterial
558,8,Hensley Street & Imperial Avenue,1,Arterial
560,8,Del Sol Boulevard,1,Secondary arterial
584,8,East Harbor Drive & South 28th Street,0,Arterial
585,8,Del Sol Boulevard & Del Sur Boulevard,2,Secondary arterial
603,8,Coronado Avenue,4,Arterial
606,8,East Harbor Drive & Sigsbee Street,0,Arterial
609,8,Siempre Viva Court & Siempre Viva Road,2,Secondary arterial
619,8,Main Street & Sampson Street,4,4-leg intersection
626,8,30th Street & J Street,2,4-leg intersection
632,8,Smythe Avenue & Via de la Melodia,4,Secondary arterial
637,8,Enrico Fermi Drive & Marconi Drive,1,Secondary arterial
646,8,Airway Road & Caliente Avenue,1,Secondary arterial
648,8,Paseo de Las Americas & Siempre Viva Road,4,Last crash ~5 years ago
657,8,Ocean View Boulevard & South Evans Street,4,Secondary arterial
665,8,Beyer Boulevard & Palm Avenue,0,Arterial
695,8,Beyer Boulevard & West Foothill Road,1,Secondary arterial
705,8,Citrus Avenue & Hollister Street,2,Last crash ~5 years ago
711,8,Dewey Street & Ocean View Boulevard,1,Secondary arterial
717,8,Franklin Avenue & South 32nd Street,2,Secondary arterial
722,8,Manning Way & Palm Avenue,1,Last crash ~4 years ago
725,8,Palm Avenue,0,Arterial
728,8,25th Street,1,Secondary arterial
731,8,Del Sol Boulevard & Riviera Shores Street,2,Secondary arterial
737,8,Chicano Park Boulevard & Harrison Avenue,3,Secondary arterial
741,8,Cottonwood Road & West Foothill Road,1,Secondary arterial
747,8,26th Street & K Street,2,4-leg intersection
756,8,Beyer Boulevard & Madden Avenue,3,Arterial
769,8,Beardsley Street & Main Street,1,Transit stop 10 m away
776,8,Main Street,1,Secondary arterial
786,8,Beardsley Street & Commercial Street,3,Secondary arterial
797,8,Logan Avenue & South 31st Street,4,4-leg intersection
810,8,Avenida de la Fuente South & Paseo de la Fuente,1,Secondary arterial
819,8,30th Street & Iris Avenue,2,Secondary arterial
830,8,Coronado Avenue & Gaywood Street,3,Arterial
831,8,East Harbor Drive,1,Arterial
848,8,East Harbor Drive & Vesta Street,0,Major arterial
852,8,Otay Mesa Center Road & Otay Mesa Road,0,Arterial
863,8,Marconi Drive & Paseo de Las Americas,4,4-leg intersection
867,8,29th Street & South 29th Street,3,Secondary arterial
881,8,Gailes Boulevard & Otay Mesa Road,1,Arterial
897,8,Ocean View Hills Parkway & Otay Mesa Road,1,Arterial
902,8,Via de San Ysidro & West San Ysidro Boulevard,3,Arterial
910,8,Palm Avenue & Saturn Boulevard,4,Major arterial
928,8,East San Ysidro Boulevard & West San Ysidro Boulevard,0,Arterial
946,8,Coronado Avenue,1,Arterial
962,8,Chicano Park Boulevard & Irving Avenue,1,4-leg intersection
976,8,Center Street & East Beyer Boulevard,1,Secondary arterial
978,8,Main Street & South 31st Street,1,Last crash ~5 years ago
984,8,Coronado Avenue,0,Arterial
986,8,Beyer Way & Via Tonga,4,Secondary arterial
988,8,Kentmere Terrace & Ocean View Hills Parkway,2,Arterial
10,9,Francis Street & Imperial Avenue,4,Arterial
33,9,Adams Avenue & West Mountain View Drive,3,Secondary arterial
34,9,Imperial Avenue & South 39th Street,2,Arterial
43,9,47th Street & Monroe Avenue,3,Secondary arterial
54,9,Euclid Avenue & Monroe Avenue,2,Secondary arterial
58,9,Imperial Avenue & Messina Way,2,Arterial
63,9,Chollas Parkway & University Avenue,2,Arterial
72,9,37th Street & Wightman Street,2,Secondary arterial
83,9,Fairmount Avenue,4,Arterial
84,9,Cherokee Avenue & Wightman Street,4,Secondary arterial
85,9,40th Street & East Market Street,0,Arterial
98,9,East Market Street & Morrison Street,2,Arterial
114,9,51st Street & Orange Avenue,3,Secondary arterial
118,9,32nd Street & K Street,4,Secondary arterial
122,9,Estrella Avenue & University Avenue,4,Arterial
169,9,54th Street,2,Arterial
179,9,Fairmount Avenue,3,Arterial
183,9,Altadena Avenue & Orange Avenue,2,Secondary arterial
185,9,67th Street & El Cajon Boulevard,2,Arterial
191,9,Chollas Parkway,0,Arterial
193,9,Adams Avenue & Hawley Boulevard,3,Secondary arterial
223,9,Menlo Avenue & Wightman Street,4,Secondary arterial
239,9,East Market Street & Raven Street,0,Arterial
240,9,College Grove Drive & College Grove Way,1,Secondary arterial
290,9,El Cajon Boulevard & Montezuma Road,3,Arterial
293,9,Mission Village Drive,3,Major arterial
305,9,Euclid Avenue & Isla Vista Drive,2,Secondary arterial
311,9,Montezuma Road,4,Arterial
313,9,43rd Street & East Market Street,3,Arterial
334,9,39th Street & El Cajon Boulevard,2,Arterial
336,9,East Market Street & Gateway Center Way,2,Arterial
341,9,Collwood Boulevard & Collwood Lane,0,Secondary arterial
376,9,43rd Street & Myrtle Avenue,4,Arterial
382,9,35th Street & El Cajon Boulevard,4,Arterial
409,9,Aldine Drive,1,Arterial
413,9,50th Street & Orange Avenue,3,~3 lanes
433,9,71st Street & El Cajon Boulevard,0,Arterial
461,9,University Avenue,2,Arterial
472,9,42nd Street & El Cajon Boulevard,2,Arterial
473,9,Fairmount Avenue & Laurel Street,3,Arterial
475,9,Marlborough Avenue & Thorn Street,4,4-leg intersection
489,9,41st Street & El Cajon Boulevard,2,Arterial
494,9,43rd Street,0,Arterial
495,9,35th Street & Meade Avenue,3,Secondary arterial
498,9,College Avenue & Estelle Street,4,Arterial
515,9,College Avenue & Pontiac Street,3,Arterial
540,9,Adams Avenue & East Mountain View Drive,2,Secondary arterial
559,9,Adams Avenue & Edgeware Road,3,Secondary arterial
562,9,Bancroft Street & Meade Avenue,3,Secondary arterial
566,9,Friars Road & Rio Bonito Way,2,~4 lanes
568,9,Imperial Avenue & South 37th Street,2,Arterial
570,9,Cherokee Avenue & El Cajon Boulevard,3,Arterial
602,9,68th Street & University Avenue,3,Arterial
613,9,34th Street & El Cajon Boulevard,1,Arterial
620,9,Collwood Boulevard & Montezuma Road,4,Arterial
624,9,Copeland Avenue & El Cajon Boulevard,0,Arterial
638,9,33rd Place & El Cajon Boulevard,2,Arterial
641,9,Collwood Boulevard & Collwood Way,4,Secondary arterial
654,9,49th Street & Orange Avenue,1,Secondary arterial
658,9,Euclid Avenue & Laurel Street,2,Secondary arterial
659,9,55th Street & Hardy Avenue,4,4-leg intersection
664,9,37th Street & El Cajon Boulevard,3,Arterial
674,9,Copeland Avenue & Meade Avenue,4,Secondary arterial
685,9,46th Street & Wightman Street,2,Secondary arterial
693,9,Landis Street & Wightman Street,4,Secondary arterial
699,9,Marlborough Avenue & Polk Avenue,4,4-leg intersection
716,9,Euclid Avenue & Myrtle Avenue,3,Secondary arterial
718,9,54th Street & University Avenue,0,Arterial
735,9,University Avenue,0,Arterial
765,9,Columbine Street & Fairmount Avenue,2,Arterial
770,9,Chamoune Avenue & Myrtle Avenue,2,4-leg intersection
777,9,Shiloh Road & University Avenue,0,Arterial
778,9,Swift Avenue & Wightman Street,2,Secondary arterial
780,9,El Cajon Boulevard & Esther Street,2,Arterial
782,9,50th Street & Wightman Street,4,4-leg intersection
784,9,College Avenue & Cresita Drive,1,Arterial
807,9,Friars Road,4,Last crash ~5 years ago
817,9,Chamoune Avenue & Landis Street,3,4-leg intersection
822,9,Franklin Avenue & South 36th Street,3,Secondary arterial
824,9,33rd Street & Meade Avenue,2,Secondary arterial
